,source,target,length_m,time-delay mins,average width,weight length,slope_percent
0,2,1,6833.204,63.99922706,26,0.146344233,1.027921894
1,3,1,11120.179,107.6209142,36,0.08992661,0.994165651
2,3,2,4286.975,43.62168712,10,0.233264715,0.940360044
3,4,1,13152.027,126.5660768,41,0.076033907,1.0348747
4,4,2,6318.823,62.56684971,15,0.158257321,1.042393496
5,4,3,2031.848,18.94516259,5,0.4921628,1.257672818
6,6,1,11566.608,111.5323399,54,0.08645577,0.971892538
7,6,2,4733.404,47.53311281,28,0.211264452,0.891007824
8,7,1,6783.929,64.06928596,16,0.147407203,1.04225737
9,9,1,16081.749,157.9973114,69,0.062182291,0.946768912
10,9,2,9248.545,93.99808433,43,0.108125116,0.886809763
11,9,6,4515.141,46.46497152,15,0.221477026,0.882408766
12,10,1,16110.507,157.6255771,70,0.062071293,0.952583305
13,10,2,9277.303,93.62635004,44,0.107789947,0.897092614
14,10,6,4543.899,46.09323723,16,0.220075314,0.903431172
15,11,1,19682.531,186.3535448,64,0.050806474,1.043509089
16,11,2,12849.327,122.3543177,38,0.077825088,1.051798277
17,11,6,8115.923,74.82120488,10,0.123214575,1.145575186
18,15,1,14049.127,137.3570838,69,0.0711788,0.952749591
19,15,2,7215.923,73.3578567,43,0.13858241,0.881564285
20,15,6,2482.519,25.82474389,15,0.402816655,0.863558345
21,102,1,12461.1243,138.7592532,28,0.080249581,1.131302414
22,102,2,5627.9203,74.76002619,2,0.17768553,1.256823058
23,102,104,111.2193,0.824556238,1,8.991245225,3.930972412
24,103,1,11937.704,126.8606259,27,0.083768202,1.197575346
25,103,2,5104.5,62.86139883,1,0.195905574,1.424684102
26,104,1,12349.905,137.934697,27,0.080972283,1.10608948
27,104,2,5516.701,73.93546995,1,0.181267754,1.202910943
28,105,1,11942.22,127.0368836,27,0.083736525,1.195330516
29,105,2,5109.016,63.03765653,1,0.195732407,1.419236111
30,106,1,12503.9507,139.0690574,28,0.079974724,1.141551206
31,106,2,5670.7467,75.06983033,2,0.17634362,1.278473609
32,106,104,154.0457,1.134360375,1,6.491580096,3.984531863
33,112,1,27682.479,287.3211292,71,0.036123932,1.046792088
34,112,2,20849.275,223.3219021,45,0.047963298,1.052976662
35,112,6,16115.871,175.7887893,17,0.062050633,1.100548645
36,112,9,11600.73,129.3238178,2,0.086201472,1.184701308
37,113,1,27788.919,289.6498306,71,0.035985567,1.038698195
38,113,2,20955.715,225.6506035,45,0.047719679,1.042212113
39,113,6,16222.311,178.1174907,17,0.061643498,1.086331041
40,113,9,11707.17,131.6525192,2,0.08541774,1.164235251
41,121,1,14475.128,149.9559968,55,0.069084018,1.025365717
42,121,2,7641.924,85.95676978,29,0.130857098,1.023080052
43,121,6,2908.52,38.42365697,1,0.343817474,1.238017961
44,125,1,11979.2578,115.6456717,55,0.083477626,1.013318204
45,125,2,5146.0538,51.6464446,29,0.194323658,0.993926647
46,125,6,412.6498,4.113331791,1,2.423362377,2.17448306
