,source,target,length_m,time-delay mins,average width,weight length,slope_percent
0,2,1,6833.204,63.99922706,26,0.14634423324695123,1.0279218943265855
1,3,1,11120.179,107.62091418,36,0.08992660999431754,0.9941656514701777
2,3,2,4286.975,43.62168712,10,0.23326471462977974,0.9403600440870281
3,4,1,13152.027,126.56607677,41,0.07603390716883413,1.0348747003028504
4,4,2,6318.823,62.56684971,15,0.15825732102323486,1.0423934963837405
5,4,3,2031.8480000000002,18.94516259,5,0.4921627995794961,1.2576728180454486
6,6,1,11566.608,111.53233987,54,0.0864557699197552,0.9718925375529279
7,6,2,4733.404,47.53311281,28,0.2112644515448079,0.8910078243902264
8,7,1,6783.929,64.06928596,16,0.14740720311194294,1.0422573703233025
9,9,1,16081.748999999998,157.99731139,69,0.06218229124207821,0.9467689117645107
10,9,2,9248.545,93.99808433,43,0.1081251158966086,0.8868097630492152
11,9,6,4515.141,46.46497152,15,0.22147702585589243,0.8824087664150488
12,10,1,16110.506999999998,157.62557710000002,70,0.06207129297668907,0.9525833047960559
13,10,2,9277.303,93.62635004,44,0.10778994714304362,0.8970926140926935
14,10,6,4543.899,46.09323723,16,0.2200753141740166,0.9034311722157541
15,11,1,19682.531000000003,186.35354475,64,0.050806474025113936,1.0435090893544121
16,11,2,12849.327000000001,122.35431768999999,38,0.07782508764855933,1.0517982770615135
17,11,6,8115.923000000001,74.82120488,10,0.12321457460845796,1.1455751859646763
18,15,1,14049.127,137.35708376,69,0.07117879993539812,0.9527495907752849
19,15,2,7215.923000000001,73.3578567,43,0.13858241003957497,0.881564284984749
20,15,6,2482.519,25.82474389,15,0.4028166551796784,0.8635583453741987
21,102,1,12461.1243,138.759253248,28,0.08024958068992218,1.1313024138600396
22,102,2,5627.9203,74.760026188,2,0.17768552976842975,1.256823057711033
23,102,104,111.2193,0.824556238,1,8.99124522452488,3.9309724121623413
24,103,1,11937.704,126.86062589,27,0.08376820199261098,1.197575346146964
25,103,2,5104.5,62.86139883,1,0.19590557351356647,1.4246841022627086
26,104,1,12349.904999999999,137.93469701,27,0.08097228278274206,1.1060894800405339
27,104,2,5516.701,73.93546995,1,0.18126775404358508,1.2029109426086328
28,105,1,11942.22,127.03688359,27,0.0837365246997627,1.1953305164366426
29,105,2,5109.016,63.03765653,1,0.19573240717977788,1.4192361112198517
30,106,1,12503.9507,139.069057385,28,0.07997472350878672,1.141551205892071
31,106,2,5670.7467,75.069830325,2,0.17634361979172866,1.2784736091280542
32,106,104,154.0457,1.134360375,1,6.491580096036436,3.98453186294726
33,112,1,27682.479,287.32112919,71,0.03612393239781741,1.0467920882374733
34,112,2,20849.275,223.32190213,45,0.047963298484000036,1.0529766622580403
35,112,6,16115.871,175.78878932,17,0.06205063319258389,1.100548645493626
36,112,9,11600.73,129.3238178,2,0.08620147180392958,1.1847013075901256
37,113,1,27788.919,289.64983059,71,0.03598556676493965,1.0386981947732477
38,113,2,20955.715,225.65060353,45,0.04771967933329881,1.0422121125430464
39,113,6,16222.311000000002,178.11749072,17,0.06164349826606085,1.0863310412431375
40,113,9,11707.17,131.6525192,2,0.08541773972702199,1.1642352507053368
41,121,1,14475.128,149.95599684,55,0.0690840177717254,1.02536571697328
42,121,2,7641.924000000001,85.95676978,29,0.13085709829095393,1.023080051568165
43,121,6,2908.52,38.42365697,1,0.3438174741793077,1.2380179610248525
44,125,1,11979.2578,115.645671661,55,0.08347762580082382,1.0133182040710396
45,125,2,5146.053800000001,51.646444601,29,0.19432365825635167,0.9939266472495858
46,125,6,412.6498,4.113331791,1,2.4233623765236283,2.1744830604546412
